DateTime,Wind Forecast EC00,Wind Forecast EC Latest,Solar Forecast EC00,Solar Forecast EC Latest,Cons Forecast EC00,Cons Forecast EC Latest,Reg. Update,UMM Planned,UMM Unplanned,Flow Update,Spot Price,Intraday Price VWAP
2022-01-01 00:00:00,3133,3199,0,0,51096,50817,1916,754,1390,0,130,183.89
2022-01-01 01:00:00,3123,3200,0,0,49301,48483,1248,547,2959,1,131,224.71
2022-01-01 02:00:00,3114,3230,0,0,48152,47834,1233,524,987,0,132,167.71
2022-01-01 03:00:00,3124,3466,0,0,45978,46051,1155,246,2934,0,132,218.82
2022-01-01 04:00:00,3268,3648,0,0,43821,44104,422,263,539,0,134,147.35
2022-01-01 05:00:00,3496,3745,0,0,42346,42654,-1907,11,2926,0,132,186.01
2022-01-01 06:00:00,3666,3943,0,0,41945,42173,-630,1048,2690,1,131,194.29
2022-01-01 07:00:00,3721,3547,0,0,41303,40410,1735,1856,1929,1,131,201.8
2022-01-01 08:00:00,3841,3862,199,173,41029,40498,682,1803,1921,0,131,186.51
2022-01-01 09:00:00,4115,4334,1018,933,41245,41092,1482,637,2573,1,131,214.59
2022-01-01 10:00:00,4451,4780,2416,2225,43888,44036,-49,527,2087,1,129,181.49
2022-01-01 11:00:00,4779,5214,3720,3494,44191,44552,953,1572,201,0,128,139.42
2022-01-01 12:00:00,4473,4787,4354,4202,45527,45934,913,1462,117,1,126,138.31
2022-01-01 13:00:00,3759,3929,4410,4337,45419,46032,488,955,821,1,126,150.55
2022-01-01 14:00:00,3755,3830,3784,3693,42798,43358,126,1195,315,1,126,135.22
2022-01-01 15:00:00,3772,3772,2443,2375,41949,42574,86,424,2668,0,126,195.03
2022-01-01 16:00:00,3466,3675,973,959,42253,42991,1373,864,2862,1,127,216.6
2022-01-01 17:00:00,3547,4065,139,150,45033,45349,-563,817,1654,0,129,159.48
2022-01-01 18:00:00,3843,4576,0,0,50051,50282,1307,955,223,0,129,141.73
2022-01-01 19:00:00,4180,4542,0,0,52408,51312,1508,1574,2581,0,128,209.71
2022-01-01 20:00:00,4435,4575,0,0,52687,51910,2000,1162,2975,0,128,227.59
2022-01-01 21:00:00,4547,4527,0,0,51734,51230,323,512,42,1,127,134.11
2022-01-01 22:00:00,4628,4663,0,0,52075,51697,-353,237,1503,1,125,160.14
2022-01-01 23:00:00,4617,4867,0,0,53411,53075,562,20,2136,0,125,183.68
2022-01-02 00:00:00,5167,4902,0,0,52138,51802,1603,623,1709,1,127,190.2
2022-01-02 01:00:00,5857,5437,0,0,50004,48688,1520,1921,1765,0,128,191.85
2022-01-02 02:00:00,6205,5695,0,0,48155,47323,-141,290,581,0,129,144.32
2022-01-02 03:00:00,6518,5893,0,0,46333,45989,1317,1638,2387,0,127,206.57
2022-01-02 04:00:00,6675,6455,0,0,45140,45098,200,618,216,1,126,135.76
2022-01-02 05:00:00,6932,7216,0,0,43979,44052,-658,1395,900,1,125,139.09
2022-01-02 06:00:00,7832,7845,0,0,44142,44266,830,1618,50,1,124,135.88
2022-01-02 07:00:00,8657,8247,0,0,44203,43703,764,1739,2273,0,126,194.72
2022-01-02 08:00:00,9066,8288,151,124,45952,45730,-451,1644,1639,0,124,165.08
2022-01-02 09:00:00,9102,8088,722,711,46433,46438,-936,1218,1204,1,125,153.66
2022-01-02 10:00:00,9081,8209,1629,1570,48832,49020,-1667,1921,1008,0,123,134.7
2022-01-02 11:00:00,9006,8414,2549,2416,49750,50013,-1825,290,590,0,122,119.01
2022-01-02 12:00:00,9162,8772,3089,3012,51212,51404,-839,1857,1209,0,120,141.63
2022-01-02 13:00:00,9816,9062,3122,3102,51253,52010,1242,469,2278,0,118,193.55
2022-01-02 14:00:00,10139,9599,2604,2609,47970,48630,-239,231,1145,1,120,149.27
