DateTime,Wind Forecast EC00,Wind Forecast EC Latest,Solar Forecast EC00,Solar Forecast EC Latest,Cons Forecast EC00,Cons Forecast EC Latest,Reg. Update,UMM Planned,UMM Unplanned,Flow Update,Spot Price,Intraday Price VWAP
2022-01-01 00:00:00,3878.83,4251,0,0,11302,11109,-231,437.0,313,1,150,172.95
2022-01-01 01:00:00,3627.71,4025,0,0,11531,11106,272,101.0,378,0,151,182.35
2022-01-01 02:00:00,3399.28,3936,0,0,11958,10712,70,169.0,496,0,153,162.95
2022-01-01 03:00:00,3149.15,3826,0,0,12706,10342,-247,397.0,361,0,152,128.84
2022-01-01 04:00:00,2896.37,3689,0,0,13283,10081,-130,244.0,178,0,154,136.61
2022-01-01 05:00:00,2750.09,3710,0,0,13682,10089,-53,165.0,189,0,157,143.42
2022-01-01 06:00:00,2604.47,3800,0,0,14021,10280,-218,84.0,336,1,155,163.85
2022-01-01 07:00:00,2458.0,3876,0,0,13514,10363,17,118.0,115,1,152,171.65
2022-01-01 08:00:00,2695.23,3969,4,6,13092,10414,252,96.0,390,0,150,163.6
2022-01-01 09:00:00,2911.72,4330,119,97,12671,10564,194,74.0,286,0,147,149.35
2022-01-01 10:00:00,3090.72,4599,385,321,12387,10791,-45,93.0,119,1,147,165.49
2022-01-01 11:00:00,3178.69,4671,691,634,12130,11074,268,3.0,492,0,148,165.51
2022-01-01 12:00:00,3266.63,4759,911,872,12246,11235,-268,407.0,104,0,145,102.11
2022-01-01 13:00:00,3352.11,4877,970,885,12383,11417,5,21.0,486,1,146,177.12
2022-01-01 14:00:00,3458.61,4939,887,778,12855,11202,165,237.0,101,1,147,181.13
2022-01-01 15:00:00,3568.33,4842,584,491,12591,11408,-203,465.0,304,1,145,158.38
2022-01-01 16:00:00,3679.7,4788,165,127,11712,12072,-269,145.0,81,0,142,106.56
2022-01-01 17:00:00,3744.53,4827,0,0,11055,13367,-169,194.0,252,0,140,123.74
2022-01-01 18:00:00,3800.16,4932,0,0,10475,13595,201,3.0,84,0,142,151.8
2022-01-01 19:00:00,3843.28,5155,0,0,10227,13375,224,326.0,224,0,143,156.19
2022-01-01 20:00:00,3868.09,5091,0,0,10242,13054,-58,102.0,328,1,141,174.1
2022-01-01 21:00:00,3885.28,4999,0,0,10399,12488,-53,152.0,430,1,139,175.84
2022-01-01 22:00:00,3887.51,4718,0,0,10729,11884,-115,18.0,453,0,136,132.61
2022-01-01 23:00:00,3903.85,4625,0,0,11217,11227,-188,174.0,320,0,134,119.52
2022-01-02 00:00:00,3811.65,4917,0,0,11778,10267,96,399.0,445,0,137,139.36
2022-01-02 01:00:00,3720.84,5134,0,0,12309,9938,207,345.0,437,0,138,145.4
2022-01-02 02:00:00,3659.41,5319,0,0,12898,9679,-159,262.0,74,0,139,101.98
2022-01-02 03:00:00,3595.12,5374,0,0,13290,9575,-40,435.0,442,0,140,119.86
2022-01-02 04:00:00,3533.85,5456,0,0,13981,9573,-328,478.0,447,0,137,81.76
2022-01-02 05:00:00,3613.23,5496,0,0,14183,9732,0,222.0,162,1,135,145.04
2022-01-02 06:00:00,3687.71,5434,0,0,14778,9984,-211,275.0,318,0,135,94.45
2022-01-02 07:00:00,3751.66,5807,0,0,13980,10117,-293,71.0,152,0,137,77.21
2022-01-02 08:00:00,4075.01,5950,3,9,13965,10755,85,336.0,237,1,140,158.91
2022-01-02 09:00:00,4335.87,6109,62,91,13945,11366,270,379.0,433,1,141,187.96
2022-01-02 10:00:00,4535.23,6211,212,347,13996,11779,-132,258.0,189,1,140,146.26
2022-01-02 11:00:00,4733.91,6275,418,707,12938,11897,-7,377.0,409,1,137,157.07
2022-01-02 12:00:00,4867.24,6215,571,928,13425,12062,-307,368.0,153,1,137,120.28
2022-01-02 13:00:00,4942.67,5965,625,1014,13923,12170,60,350.0,368,1,135,160.46
2022-01-02 14:00:00,4952.67,5825,601,890,14256,12136,-230,266.0,184,1,135,138.43
2022-01-02 15:00:00,4909.4,5751,450,593,14472,12309,-108,403.0,424,0,138,127.44
2022-01-02 16:00:00,4806.68,5685,152,178,13292,13105,-54,303.0,428,1,136,173.04
2022-01-02 17:00:00,4820.21,5689,0,0,12013,14655,-199,246.0,330,0,133,119.06
2022-01-02 18:00:00,4822.27,5699,0,0,11091,14606,210,273.0,350,0,134,156.08
2022-01-02 19:00:00,4810.64,5410,0,0,10661,14260,-202,320.0,165,0,135,121.5
2022-01-02 20:00:00,4879.08,5535,0,0,10593,13784,-275,350.0,188,1,132,147.34
2022-01-02 21:00:00,4912.3,5810,0,0,10686,13094,62,460.0,394,0,132,138.75
2022-01-02 22:00:00,4909.02,5988,0,0,11001,12443,-110,310.0,109,0,131,115.89
2022-01-02 23:00:00,4967.9,6027,0,0,11521,11688,-54,158.0,326,0,129,122.57
2022-01-03 00:00:00,4872.02,6177,0,0,12019,10968,283,255.0,370,0,128,146.91
2022-01-03 01:00:00,4905.79,6247,0,0,12758,10647,-300,4.0,223,1,129,124.27
2022-01-03 02:00:00,4875.89,6271,0,0,13481,10464,117,54.0,313,1,130,162.63
2022-01-03 03:00:00,4833.56,6303,0,0,13835,10430,28,460.0,25,1,127,143.75
2022-01-03 04:00:00,4788.3,6320,0,0,14504,10554,-90,95.0,462,0,126,106.82
2022-01-03 05:00:00,4753.45,6314,0,0,14594,11146,-143,157.0,10,1,124,127.27
2022-01-03 06:00:00,4730.23,6282,0,0,15256,12574,236,321.0,433,0,121,128.96
2022-01-03 07:00:00,4717.12,6172,0,0,14215,14426,270,368.0,367,0,120,136.21
2022-01-03 08:00:00,4740.63,6224,6,4,13022,15764,-191,305.0,96,1,120,130.03
2022-01-03 09:00:00,4763.87,6215,180,162,12082,15824,-239,48.0,479,0,120,97.55
2022-01-03 10:00:00,4781.37,6201,548,502,11639,15532,192,236.0,180,0,119,126.94
2022-01-03 11:00:00,4814.01,6136,874,795,11690,15031,193,356.0,418,0,116,131.62
2022-01-03 12:00:00,4831.94,6107,1045,940,12295,14545,87,367.0,3,0,115,109.23
2022-01-03 13:00:00,4834.3,6055,1073,924,12937,14547,71,108.0,35,0,115,109.76
2022-01-03 14:00:00,4797.38,5993,944,819,14020,14769,115,213.0,157,0,116,116.13
2022-01-03 15:00:00,4749.27,5830,636,541,14311,15267,-182,58.0,9,1,114,128.38
2022-01-03 16:00:00,4694.62,5668,200,163,13188,15751,258,33.0,437,0,116,143.82
2022-01-03 17:00:00,4564.77,5590,0,0,11888,16439,-340,246.0,311,0,119,86.53
2022-01-03 18:00:00,4419.75,5525,0,0,10931,16257,-80,457.0,455,1,119,159.28
2022-01-03 19:00:00,4255.5,5188,0,0,10506,15802,-340,201.0,446,1,118,130.25
2022-01-03 20:00:00,4113.01,4947,0,0,10449,15100,-153,119.0,416,0,121,117.8
2022-01-03 21:00:00,3930.24,4594,0,0,10542,14411,201,498.0,464,1,124,190.17
2022-01-03 22:00:00,3710.46,4275,0,0,10851,13404,-129,442.0,38,1,125,153.87
2022-01-03 23:00:00,3339.59,4307,0,0,11355,12524,31,276.0,473,0,127,131.06
2022-01-04 00:00:00,3201.0,4356,0,0,11955,11808,-256,344.0,200,1,129,135.26
2022-01-04 01:00:00,2782.97,3936,0,0,12682,11324,-339,105.0,48,1,130,119.54
2022-01-04 02:00:00,2306.42,3636,0,0,13406,11029,228,496.0,399,1,131,180.04
2022-01-04 03:00:00,1842.76,3497,0,0,13768,10931,-182,221.0,38,0,130,90.24
2022-01-04 04:00:00,1426.89,3160,0,0,14442,11002,134,487.0,197,0,128,113.99
2022-01-04 05:00:00,1272.72,2799,0,0,14544,11525,-27,419.0,382,0,127,111.59
2022-01-04 06:00:00,1135.5,2578,0,0,15246,12883,-137,196.0,223,1,129,141.76
2022-01-04 07:00:00,1015.79,2317,0,0,14379,14711,122,299.0,254,0,128,127.03
2022-01-04 08:00:00,1121.29,1978,14,6,14213,16022,181,68.0,349,0,126,142.59
2022-01-04 09:00:00,1244.11,1809,94,86,14026,16365,131,23.0,50,0,127,135.39
2022-01-04 10:00:00,1375.17,1763,246,233,14068,16187,100,321.0,320,0,126,140.11
2022-01-04 11:00:00,1557.46,1931,388,375,14001,15713,-297,247.0,136,0,125,98.71
2022-01-04 12:00:00,1761.3,1917,446,483,14385,15352,-317,400.0,463,1,124,142.79
2022-01-04 13:00:00,1972.73,1757,470,430,14637,15405,-189,467.0,93,1,122,150.27
2022-01-04 14:00:00,2146.39,2026,426,414,14737,15553,-76,227.0,421,0,124,132.1
2022-01-04 15:00:00,2309.83,2177,261,268,14365,15825,-61,295.0,6,1,125,163.34
2022-01-04 16:00:00,2465.28,2173,72,72,13227,16149,15,95.0,409,1,122,177.62
2022-01-04 17:00:00,2691.22,2253,0,0,11938,16714,-34,481.0,171,0,123,136.15
2022-01-04 18:00:00,2921.66,2418,0,0,10992,16476,-59,422.0,457,1,126,185.46
2022-01-04 19:00:00,3150.88,2805,0,0,10575,15958,-27,56.0,412,0,129,148.66
2022-01-04 20:00:00,3434.66,3184,0,0,10520,15246,6,153.0,478,0,132,152.63
2022-01-04 21:00:00,3698.14,3459,0,0,10622,14616,8,111.0,441,0,135,153.54
2022-01-04 22:00:00,3927.93,3923,0,0,10934,13606,269,103.0,249,0,133,168.04
2022-01-04 23:00:00,4108.37,4375,0,0,11438,12731,-143,322.0,143,1,136,167.58
2022-01-05 00:00:00,3913.46,4856,0,0,12052,11918,-66,207.0,357,1,139,172.61
